"disease","menopause_timing_definition","health_outcome","metric_type","metric_value","ci_95","reference","date_published","n_of_included_studies","sample_size","geography","confounder_vars","authors","robis_categorical_risk","robis_quality_score"
"all","reached menopause vs not reached menopause","Breast Cancer (unadjusted)","OR","3.74","2.64-5.29","https://doi.org/10.31557/APJCP.2021.22.7.1987","2021-Jul-01","7","2032","Palestine, Gaza Strip, West Bank","N/A","['Arafat, Heba Mohammed', 'Omar, Julia', 'Muhamad, Rosediani', 'Al-Astani, Tengku Ahmad Damitri', 'Shafii, Noorazliyana', 'Al Laham, Nahed Ali', 'Naser, Ihab', 'Shamallakh, Ohood Mohammed', 'Shamallakh, Kholoud Mohammed', 'Jebril, Majed Abed Al Rahman']","High","6"
"all","premenopausal vs postmenopausal","Breast Cancer (adjusted)","RR","0.96","0.91-1.00","https://doi.org/10.1371/journal.pone.0093437","2014","10","6890","Korea, China, Japan, Italy, 10 European countries","Age, BMI, family history of breast cancer, regular exercise, current smoker, current drinker, current multivitamin supplement, number of children, energy intake, carbohydrate, soy protein, vitamin E, folate, education, residential area, age at menarche, oral contraceptive, hormone replacement therapy, alcohol consumption, passive smoking, tea drinking, physical activity, dietary supplements, job, vegetable intake, postmenopausal hormone use, saturated fat intake, height, weight","['Li, Jiaoyuan', 'Zou, Li', 'Chen, Wei', 'Zhu, Beibei', 'Shen, Na', 'Ke, Juntao', 'Lou, Jiao', 'Song, Ranran', 'Zhong, Rong', 'Miao, Xiaoping']","Low","8"
"all","premenopausal vs postmenopausal","Breast Cancer (adjusted)","RR","0.94","0.91-0.97","https://doi.org/10.1371/journal.pone.0093437","2014","10","6890","Korea, China, Japan, Italy, 10 European countries","Age, BMI, family history of breast cancer, regular exercise, current smoker, current drinker, current multivitamin supplement, number of children, energy intake, carbohydrate, soy protein, vitamin E, folate, education, residential area, age at menarche, oral contraceptive, hormone replacement therapy, alcohol consumption, passive smoking, tea drinking, physical activity, dietary supplements, job, vegetable intake, postmenopausal hormone use, saturated fat intake, height, weight","['Li, Jiaoyuan', 'Zou, Li', 'Chen, Wei', 'Zhu, Beibei', 'Shen, Na', 'Ke, Juntao', 'Lou, Jiao', 'Song, Ranran', 'Zhong, Rong', 'Miao, Xiaoping']","Low","8"
"all","postmenopausal ET use (vs no use)","Serous ovarian cancer (adjusted)","OR","1.51","1.19-1.91","https://doi.org/10.1002/ijc.30274","2016-Dec-15","10","5802","USA, Germany, Denmark, United Kingdom","Age, OC use, parity, hysterectomy, endometriosis, tubal ligation, education, genetic ancestry","['Lee, Alice W', 'Bomkamp, Ashley', 'Bandera, Elisa V', 'Jensen, Allan', 'Ramus, Susan J', 'Goodman, Marc T', 'Rossing, Mary Anne', 'Modugno, Francesmary', 'Moysich, Kirsten B', 'Chang-Claude, Jenny', 'Rudolph, Anja', 'Gentry-Maharaj, Aleksandra', 'Terry, Kathryn L', 'Gayther, Simon A', 'Cramer, Daniel W', 'Doherty, Jennifer A', 'Schildkraut, Joellen M', 'Kjaer, Susanne K', 'Ness, Roberta B', 'Menon, Usha', 'Berchuck, Andrew', 'Mukherjee, Bhramar', 'Roman, Lynda', 'Pharoah, Paul D', 'Chenevix-Trench, Georgia', 'Olson, Sara', 'Hogdall, Estrid', 'Wu, Anna H', 'Pike, Malcolm C', 'Stram, Daniel O', 'Pearce, Celeste Leigh']","High","1"
"all","postmenopausal ET use >=10 years (vs no use)","Serous ovarian cancer (adjusted)","OR","1.85","1.28-2.66","https://doi.org/10.1002/ijc.30274","2016-Dec-15","10","5802","USA, Germany, Denmark, United Kingdom","Age, OC use, parity, hysterectomy, endometriosis, tubal ligation, education, genetic ancestry","['Lee, Alice W', 'Bomkamp, Ashley', 'Bandera, Elisa V', 'Jensen, Allan', 'Ramus, Susan J', 'Goodman, Marc T', 'Rossing, Mary Anne', 'Modugno, Francesmary', 'Moysich, Kirsten B', 'Chang-Claude, Jenny', 'Rudolph, Anja', 'Gentry-Maharaj, Aleksandra', 'Terry, Kathryn L', 'Gayther, Simon A', 'Cramer, Daniel W', 'Doherty, Jennifer A', 'Schildkraut, Joellen M', 'Kjaer, Susanne K', 'Ness, Roberta B', 'Menon, Usha', 'Berchuck, Andrew', 'Mukherjee, Bhramar', 'Roman, Lynda', 'Pharoah, Paul D', 'Chenevix-Trench, Georgia', 'Olson, Sara', 'Hogdall, Estrid', 'Wu, Anna H', 'Pike, Malcolm C', 'Stram, Daniel O', 'Pearce, Celeste Leigh']","High","1"
"all","no postmenopausal ET use (vs use)","Endometrioid ovarian cancer (adjusted)","OR","1.32","1.09-1.61","https://doi.org/10.1002/ijc.30274","2016-Dec-15","10","5802","USA, Germany, Denmark, United Kingdom","Age, OC use, parity, hysterectomy, endometriosis, tubal ligation, education, genetic ancestry","['Lee, Alice W', 'Bomkamp, Ashley', 'Bandera, Elisa V', 'Jensen, Allan', 'Ramus, Susan J', 'Goodman, Marc T', 'Rossing, Mary Anne', 'Modugno, Francesmary', 'Moysich, Kirsten B', 'Chang-Claude, Jenny', 'Rudolph, Anja', 'Gentry-Maharaj, Aleksandra', 'Terry, Kathryn L', 'Gayther, Simon A', 'Cramer, Daniel W', 'Doherty, Jennifer A', 'Schildkraut, Joellen M', 'Kjaer, Susanne K', 'Ness, Roberta B', 'Menon, Usha', 'Berchuck, Andrew', 'Mukherjee, Bhramar', 'Roman, Lynda', 'Pharoah, Paul D', 'Chenevix-Trench, Georgia', 'Olson, Sara', 'Hogdall, Estrid', 'Wu, Anna H', 'Pike, Malcolm C', 'Stram, Daniel O', 'Pearce, Celeste Leigh']","High","1"
"all","postmenopausal ET use (vs no use)","Endometrioid ovarian cancer (adjusted)","OR","0.71","0.43-1.18","https://doi.org/10.1002/ijc.30274","2016-Dec-15","10","5802","USA, Germany, Denmark, United Kingdom","Age, OC use, parity, hysterectomy, endometriosis, tubal ligation, education, genetic ancestry","['Lee, Alice W', 'Bomkamp, Ashley', 'Bandera, Elisa V', 'Jensen, Allan', 'Ramus, Susan J', 'Goodman, Marc T', 'Rossing, Mary Anne', 'Modugno, Francesmary', 'Moysich, Kirsten B', 'Chang-Claude, Jenny', 'Rudolph, Anja', 'Gentry-Maharaj, Aleksandra', 'Terry, Kathryn L', 'Gayther, Simon A', 'Cramer, Daniel W', 'Doherty, Jennifer A', 'Schildkraut, Joellen M', 'Kjaer, Susanne K', 'Ness, Roberta B', 'Menon, Usha', 'Berchuck, Andrew', 'Mukherjee, Bhramar', 'Roman, Lynda', 'Pharoah, Paul D', 'Chenevix-Trench, Georgia', 'Olson, Sara', 'Hogdall, Estrid', 'Wu, Anna H', 'Pike, Malcolm C', 'Stram, Daniel O', 'Pearce, Celeste Leigh']","High","1"
"all","no postmenopausal ET use (vs use)","Endometrioid ovarian cancer (adjusted)","OR","1.53","1.21-1.92","https://doi.org/10.1002/ijc.30274","2016-Dec-15","10","5802","USA, Germany, Denmark, United Kingdom","Age, OC use, parity, hysterectomy, endometriosis, tubal ligation, education, genetic ancestry","['Lee, Alice W', 'Bomkamp, Ashley', 'Bandera, Elisa V', 'Jensen, Allan', 'Ramus, Susan J', 'Goodman, Marc T', 'Rossing, Mary Anne', 'Modugno, Francesmary', 'Moysich, Kirsten B', 'Chang-Claude, Jenny', 'Rudolph, Anja', 'Gentry-Maharaj, Aleksandra', 'Terry, Kathryn L', 'Gayther, Simon A', 'Cramer, Daniel W', 'Doherty, Jennifer A', 'Schildkraut, Joellen M', 'Kjaer, Susanne K', 'Ness, Roberta B', 'Menon, Usha', 'Berchuck, Andrew', 'Mukherjee, Bhramar', 'Roman, Lynda', 'Pharoah, Paul D', 'Chenevix-Trench, Georgia', 'Olson, Sara', 'Hogdall, Estrid', 'Wu, Anna H', 'Pike, Malcolm C', 'Stram, Daniel O', 'Pearce, Celeste Leigh']","High","1"
"all","postmenopausal ET use (vs no use)","Endometrioid ovarian cancer (adjusted)","OR","0.82","0.46-1.45","https://doi.org/10.1002/ijc.30274","2016-Dec-15","10","5802","USA, Germany, Denmark, United Kingdom","Age, OC use, parity, hysterectomy, endometriosis, tubal ligation, education, genetic ancestry","['Lee, Alice W', 'Bomkamp, Ashley', 'Bandera, Elisa V', 'Jensen, Allan', 'Ramus, Susan J', 'Goodman, Marc T', 'Rossing, Mary Anne', 'Modugno, Francesmary', 'Moysich, Kirsten B', 'Chang-Claude, Jenny', 'Rudolph, Anja', 'Gentry-Maharaj, Aleksandra', 'Terry, Kathryn L', 'Gayther, Simon A', 'Cramer, Daniel W', 'Doherty, Jennifer A', 'Schildkraut, Joellen M', 'Kjaer, Susanne K', 'Ness, Roberta B', 'Menon, Usha', 'Berchuck, Andrew', 'Mukherjee, Bhramar', 'Roman, Lynda', 'Pharoah, Paul D', 'Chenevix-Trench, Georgia', 'Olson, Sara', 'Hogdall, Estrid', 'Wu, Anna H', 'Pike, Malcolm C', 'Stram, Daniel O', 'Pearce, Celeste Leigh']","High","1"
"all","premenopausal vs postmenopausal","Breast Cancer recurrence (adjusted)","OR","0.80","0.57-1.12","https://doi.org/10.1371/journal.pone.0088238","2014","5","21554","N/A","N/A","['Al-Mubarak, Mustafa', 'Tibau, Ariadna', 'Templeton, Arnoud J', 'Cescon, David W', 'Ocana, Alberto', 'Seruga, Bostjan', 'Amir, Eitan']","Unclear","5"
