menopause_timing_definition,health_outcome,metric_type,metric_value,ci_95
Earliest age at natural menopause vs normal age at menopause (pooled across studies),Coronary heart disease mortality,RR,1.11,1.03-1.20
Earliest age at natural menopause vs normal age at menopause (pooled across studies),Cardiovascular disease mortality,RR,1.06,0.92-1.21
Earliest age at natural menopause vs normal age at menopause (pooled across studies),Stroke mortality,RR,0.94,0.86-1.04
<40 years vs ≥50 years,Coronary heart disease mortality,RR,1.50,0.67-3.36
<40 years vs ≥50 years,Stroke mortality,RR,0.80,0.19-3.41
35–40 years vs 49–51 years,Coronary heart disease mortality,RR,1.50,1.0-2.3
≤40 years vs 50–52 years,Stroke mortality,RR,0.94,0.79-1.11
40–44 years vs 50–54 years,Coronary heart disease mortality,RR,1.09,1.00-1.18
40–44 years vs 50–54 years,Stroke mortality,RR,0.94,0.82-1.07
<40 years vs 45–49 years,Cardiovascular disease mortality (CVD),RR,1.53,1.00-2.39
<40 years vs 45–49 years,Stroke mortality,RR,1.56,0.89-2.73
<45 years vs 50–54 years,Cardiovascular disease mortality (CVD),RR,1.26,0.56-2.86
<46.64 years vs 48.80–50.15 years,Cardiovascular disease mortality (CVD),RR,1.01,0.83-1.22
<46.64 years vs 48.80–50.15 years,Coronary heart disease mortality,RR,1.24,0.83-1.86
<46.64 years vs 48.80–50.15 years,Stroke mortality,RR,0.86,0.66-1.11
<40 years vs 50–54 years,Cardiovascular disease mortality (CVD),RR,0.96,0.75-1.23
