"disease","menopause_timing_definition","health_outcome","metric_type","metric_value","ci_95","reference","date_published","n_of_included_studies","sample_size","geography","confounder_vars","authors","robis_categorical_risk","robis_quality_score"
"All Cause Mortality","<10 years vs >=10 years after menopause","All-cause death","RR","0.96","0.85-1.09","https://doi.org/10.1186/s12905-023-02788-0","2024-Jan-23","33","44639","N/A","N/A","['Gu, Yimeng', 'Han, Fangfang', 'Xue, Mei', 'Wang, Miyuan', 'Huang, Yuxiao']","High","6"
"All Cause Mortality","<10 years vs >=10 years after menopause","Cardiovascular events","RR","0.97","0.82-1.14","https://doi.org/10.1186/s12905-023-02788-0","2024-Jan-23","33","44639","N/A","N/A","['Gu, Yimeng', 'Han, Fangfang', 'Xue, Mei', 'Wang, Miyuan', 'Huang, Yuxiao']","High","6"
"All Cause Mortality","<10 years vs >=10 years after menopause","Stroke","HR","1.31","1.08-1.59","https://doi.org/10.1186/s12905-023-02788-0","2024-Jan-23","33","44639","N/A","N/A","['Gu, Yimeng', 'Han, Fangfang', 'Xue, Mei', 'Wang, Miyuan', 'Huang, Yuxiao']","High","6"
"All Cause Mortality","<40 vs 49-52","All cause mortality (adjusted)","HR","1.08","1.03-1.14","https://doi.org/10.1155/2021/6636856","2021","16","321233","USA, Japan, Netherlands, Korea, China, Taiwan, Norway, Brazil","Age, hormone replacement therapy use, hypertension, BMI, social economic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, age at first birth, self-cognitive health level, chronic disease, parity, age at menarche, oral contraceptive use, height, weight, use of ET, WHR, occupation, income, regular exercise, current smoking or alcohol, race, reproductive factors, number of chronic diseases, birth cohort, medical conditions, behavioral characteristics, physical exercise, CVD history, vegetarian status, dietary pattern, use of estrogen replacement therapy","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"All Cause Mortality","<40 vs 49-52","All cause mortality (adjusted)","RR","1.05","1.01-1.08","https://doi.org/10.1155/2021/6636856","2021","16","321233","USA, Japan, Netherlands, Korea, China, Taiwan, Norway, Brazil","Age, hormone replacement therapy use, hypertension, BMI, social economic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, age at first birth, self-cognitive health level, chronic disease, parity, age at menarche, oral contraceptive use, height, weight, use of ET, WHR, occupation, income, regular exercise, current smoking or alcohol, race, reproductive factors, number of chronic diseases, birth cohort, medical conditions, behavioral characteristics, physical exercise, CVD history, vegetarian status, dietary pattern, use of estrogen replacement therapy","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"All Cause Mortality","<40 vs 49-52","All cause mortality (unadjusted)","HR","1.12","1.05-1.19","https://doi.org/10.1155/2021/6636856","2021","16","321233","USA, Japan, Netherlands, Korea, China, Taiwan, Norway, Brazil","Age, hormone replacement therapy use, hypertension, BMI, social economic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, age at first birth, self-cognitive health level, chronic disease, parity, age at menarche, oral contraceptive use, height, weight, use of ET, WHR, occupation, income, regular exercise, current smoking or alcohol, race, reproductive factors, number of chronic diseases, birth cohort, medical conditions, behavioral characteristics, physical exercise, CVD history, vegetarian status, dietary pattern, use of estrogen replacement therapy","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"All Cause Mortality","<40 vs 49-52","All cause mortality (unadjusted)","RR","1.03","1.00-1.06","https://doi.org/10.1155/2021/6636856","2021","16","321233","USA, Japan, Netherlands, Korea, China, Taiwan, Norway, Brazil","Age, hormone replacement therapy use, hypertension, BMI, social economic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, age at first birth, self-cognitive health level, chronic disease, parity, age at menarche, oral contraceptive use, height, weight, use of ET, WHR, occupation, income, regular exercise, current smoking or alcohol, race, reproductive factors, number of chronic diseases, birth cohort, medical conditions, behavioral characteristics, physical exercise, CVD history, vegetarian status, dietary pattern, use of estrogen replacement therapy","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"All Cause Mortality","<40 vs 49-52","Cardiovascular mortality (adjusted)","HR","1.01","0.95-1.09","https://doi.org/10.1155/2021/6636856","2021","16","321233","USA, Japan, Netherlands, Korea, China, Taiwan, Norway, Brazil","Age, hormone replacement therapy use, hypertension, BMI, social economic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, age at first birth, self-cognitive health level, chronic disease, parity, age at menarche, oral contraceptive use, height, weight, use of ET, WHR, occupation, income, regular exercise, current smoking or alcohol, race, reproductive factors, number of chronic diseases, birth cohort, medical conditions, behavioral characteristics, physical exercise, CVD history, vegetarian status, dietary pattern, use of estrogen replacement therapy","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"All Cause Mortality","<40 vs 49-52","Cardiovascular mortality (adjusted)","RR","1.08","0.77-1.51","https://doi.org/10.1155/2021/6636856","2021","16","321233","USA, Japan, Netherlands, Korea, China, Taiwan, Norway, Brazil","Age, hormone replacement therapy use, hypertension, BMI, social economic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, age at first birth, self-cognitive health level, chronic disease, parity, age at menarche, oral contraceptive use, height, weight, use of ET, WHR, occupation, income, regular exercise, current smoking or alcohol, race, reproductive factors, number of chronic diseases, birth cohort, medical conditions, behavioral characteristics, physical exercise, CVD history, vegetarian status, dietary pattern, use of estrogen replacement therapy","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"All Cause Mortality","<40 vs 49-52","Cardiovascular mortality (unadjusted)","HR","1.04","1.00-1.13","https://doi.org/10.1155/2021/6636856","2021","16","321233","USA, Japan, Netherlands, Korea, China, Taiwan, Norway, Brazil","Age, hormone replacement therapy use, hypertension, BMI, social economic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, age at first birth, self-cognitive health level, chronic disease, parity, age at menarche, oral contraceptive use, height, weight, use of ET, WHR, occupation, income, regular exercise, current smoking or alcohol, race, reproductive factors, number of chronic diseases, birth cohort, medical conditions, behavioral characteristics, physical exercise, CVD history, vegetarian status, dietary pattern, use of estrogen replacement therapy","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
