"disease","menopause_timing_definition","health_outcome","metric_type","metric_value","ci_95","reference","date_published","n_of_included_studies","sample_size","geography","confounder_vars","authors","robis_categorical_risk","robis_quality_score"
"cardiovascular disease","Earliest age at natural menopause vs normal menopause","Coronary Heart Disease mortality","RR","1.11","1.03-1.20","https://doi.org/10.1016/j.ijcard.2015.10.092","2016-Jan-15","10","149373","USA, Norway, Japan, Republic of Korea, China","Age, race, education, smoking, hormone replacement therapy, BMI, age at menarche, parity, alcohol, physical activity, marital status, SBP, TC, HDL-C, diabetes history, contraceptive use, study area, number of live births, ever-smoking, leisure physical activity, vegetarian status, dietary pattern, hypertension, county occupation, birth cohort, WHR, income, chronic disease, self-cognitive health level","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']","High","6"
"cardiovascular disease","Earliest age at natural menopause vs normal menopause","Cardiovascular mortality","RR","1.06","0.92-1.21","https://doi.org/10.1016/j.ijcard.2015.10.092","2016-Jan-15","10","149373","USA, Norway, Japan, Republic of Korea, China","Age, race, education, smoking, hormone replacement therapy, BMI, age at menarche, parity, alcohol, physical activity, marital status, SBP, TC, HDL-C, diabetes history, contraceptive use, study area, number of live births, ever-smoking, leisure physical activity, vegetarian status, dietary pattern, hypertension, county occupation, birth cohort, WHR, income, chronic disease, self-cognitive health level","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']","High","6"
"cardiovascular disease","Earliest age at natural menopause vs normal menopause","Stroke mortality","RR","0.94","0.86-1.04","https://doi.org/10.1016/j.ijcard.2015.10.092","2016-Jan-15","10","149373","USA, Norway, Japan, Republic of Korea, China","Age, race, education, smoking, hormone replacement therapy, BMI, age at menarche, parity, alcohol, physical activity, marital status, SBP, TC, HDL-C, diabetes history, contraceptive use, study area, number of live births, ever-smoking, leisure physical activity, vegetarian status, dietary pattern, hypertension, county occupation, birth cohort, WHR, income, chronic disease, self-cognitive health level","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']","High","6"
"cardiovascular disease","<40 years vs ≥50 years","Total mortality","RR","1.56","1.07-2.27","https://doi.org/10.1016/j.ijcard.2015.10.092","2016-Jan-15","10","149373","USA, Norway, Japan, Republic of Korea, China","Age, race, education, smoking, hormone replacement therapy, BMI, age at menarche, parity, alcohol, physical activity, marital status, SBP, TC, HDL-C, diabetes history, contraceptive use, study area, number of live births, ever-smoking, leisure physical activity, vegetarian status, dietary pattern, hypertension, county occupation, birth cohort, WHR, income, chronic disease, self-cognitive health level","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']","High","6"
"cardiovascular disease","<40 years vs ≥50 years","Coronary Heart Disease mortality","RR","1.50","0.67-3.36","https://doi.org/10.1016/j.ijcard.2015.10.092","2016-Jan-15","10","149373","USA, Norway, Japan, Republic of Korea, China","Age, race, education, smoking, hormone replacement therapy, BMI, age at menarche, parity, alcohol, physical activity, marital status, SBP, TC, HDL-C, diabetes history, contraceptive use, study area, number of live births, ever-smoking, leisure physical activity, vegetarian status, dietary pattern, hypertension, county occupation, birth cohort, WHR, income, chronic disease, self-cognitive health level","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']","High","6"
"cardiovascular disease","<40 years vs ≥50 years","Stroke mortality","RR","0.80","0.19-3.41","https://doi.org/10.1016/j.ijcard.2015.10.092","2016-Jan-15","10","149373","USA, Norway, Japan, Republic of Korea, China","Age, race, education, smoking, hormone replacement therapy, BMI, age at menarche, parity, alcohol, physical activity, marital status, SBP, TC, HDL-C, diabetes history, contraceptive use, study area, number of live births, ever-smoking, leisure physical activity, vegetarian status, dietary pattern, hypertension, county occupation, birth cohort, WHR, income, chronic disease, self-cognitive health level","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']","High","6"
"cardiovascular disease","35-40 years vs 49-51 years","Total mortality","RR","1.3","1.1-1.5","https://doi.org/10.1016/j.ijcard.2015.10.092","2016-Jan-15","10","149373","USA, Norway, Japan, Republic of Korea, China","Age, race, education, smoking, hormone replacement therapy, BMI, age at menarche, parity, alcohol, physical activity, marital status, SBP, TC, HDL-C, diabetes history, contraceptive use, study area, number of live births, ever-smoking, leisure physical activity, vegetarian status, dietary pattern, hypertension, county occupation, birth cohort, WHR, income, chronic disease, self-cognitive health level","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']","High","6"
"cardiovascular disease","35-40 years vs 49-51 years","Coronary Heart Disease mortality","RR","1.5","1.0-2.3","https://doi.org/10.1016/j.ijcard.2015.10.092","2016-Jan-15","10","149373","USA, Norway, Japan, Republic of Korea, China","Age, race, education, smoking, hormone replacement therapy, BMI, age at menarche, parity, alcohol, physical activity, marital status, SBP, TC, HDL-C, diabetes history, contraceptive use, study area, number of live births, ever-smoking, leisure physical activity, vegetarian status, dietary pattern, hypertension, county occupation, birth cohort, WHR, income, chronic disease, self-cognitive health level","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']","High","6"
"cardiovascular disease","≤40 years vs 50-52 years","Stroke mortality","RR","0.94","0.79-1.11","https://doi.org/10.1016/j.ijcard.2015.10.092","2016-Jan-15","10","149373","USA, Norway, Japan, Republic of Korea, China","Age, race, education, smoking, hormone replacement therapy, BMI, age at menarche, parity, alcohol, physical activity, marital status, SBP, TC, HDL-C, diabetes history, contraceptive use, study area, number of live births, ever-smoking, leisure physical activity, vegetarian status, dietary pattern, hypertension, county occupation, birth cohort, WHR, income, chronic disease, self-cognitive health level","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']","High","6"
"cardiovascular disease","<40 years vs 45-49 years","Cardiovascular Disease mortality","RR","2.77","1.16-6.58","https://doi.org/10.1016/j.ijcard.2015.10.092","2016-Jan-15","10","149373","USA, Norway, Japan, Republic of Korea, China","Age, race, education, smoking, hormone replacement therapy, BMI, age at menarche, parity, alcohol, physical activity, marital status, SBP, TC, HDL-C, diabetes history, contraceptive use, study area, number of live births, ever-smoking, leisure physical activity, vegetarian status, dietary pattern, hypertension, county occupation, birth cohort, WHR, income, chronic disease, self-cognitive health level","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']","High","6"
