disease,menopause_timing_definition,health_outcome,metric_type,metric_value,ci_95,reference,date_published,n_of_included_studies,sample_size,geography,confounder_vars,authors,robis_categorical_risk,robis_quality_score
All cause mortality,earliest vs normal,All-cause mortality (pooled),RR,1.18,1.07-1.29,https://doi.org/10.1016/j.ijcard.2015.10.092,2016-Jan-15,10,149373,"USA, Norway, Japan, Republic of Korea, China","Age at baseline, years of follow-up, race, education, smoking, use of hormone replacement therapy, DB, hypertension, parity, age at first birth, leisure PA, BMI, current use of estrogen, ever-smoking, vegetarian status, dietary pattern, attained age, county, occupation, birth cohort, marital status, age at menarche, alcohol, oral contraceptive use, exercise, SBP, TC, HDL-C, history of DB, alcohol, marital status, study area, type of menopause, self-cognitive health level, chronic disease, marital partner, contraceptive use, hypertension, pregnancy number, height, weight, age and time period, reproductive factors, lactation duration, unilateral oophorectomy, WHR, education, occupation, income, regular exercise, current smoking or alcohol, number of live births","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']",Low,10
All cause mortality,earliest vs normal,CHD mortality (pooled),RR,1.11,1.03-1.20,https://doi.org/10.1016/j.ijcard.2015.10.092,2016-Jan-15,10,149373,"USA, Norway, Japan, Republic of Korea, China","Age at baseline, years of follow-up, race, education, smoking, use of hormone replacement therapy, DB, hypertension, parity, age at first birth, leisure PA, BMI, current use of estrogen, ever-smoking, vegetarian status, dietary pattern, attained age, county, occupation, birth cohort, marital status, age at menarche, alcohol, oral contraceptive use, exercise, SBP, TC, HDL-C, history of DB, alcohol, marital status, study area, type of menopause, self-cognitive health level, chronic disease, marital partner, contraceptive use, hypertension, pregnancy number, height, weight, age and time period, reproductive factors, lactation duration, unilateral oophorectomy, WHR, education, occupation, income, regular exercise, current smoking or alcohol, number of live births","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']",Low,10
All cause mortality,earliest vs normal,Cardiovascular mortality (pooled),RR,1.06,0.92-1.21,https://doi.org/10.1016/j.ijcard.2015.10.092,2016-Jan-15,10,149373,"USA, Norway, Japan, Republic of Korea, China","Age at baseline, years of follow-up, race, education, smoking, use of hormone replacement therapy, DB, hypertension, parity, age at first birth, leisure PA, BMI, current use of estrogen, ever-smoking, vegetarian status, dietary pattern, attained age, county, occupation, birth cohort, marital status, age at menarche, alcohol, oral contraceptive use, exercise, SBP, TC, HDL-C, history of DB, alcohol, marital status, study area, type of menopause, self-cognitive health level, chronic disease, marital partner, contraceptive use, hypertension, pregnancy number, height, weight, age and time period, reproductive factors, lactation duration, unilateral oophorectomy, WHR, education, occupation, income, regular exercise, current smoking or alcohol, number of live births","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']",Low,10
All cause mortality,earliest vs normal,Stroke mortality (pooled),RR,0.94,0.86-1.04,https://doi.org/10.1016/j.ijcard.2015.10.092,2016-Jan-15,10,149373,"USA, Norway, Japan, Republic of Korea, China","Age at baseline, years of follow-up, race, education, smoking, use of hormone replacement therapy, DB, hypertension, parity, age at first birth, leisure PA, BMI, current use of estrogen, ever-smoking, vegetarian status, dietary pattern, attained age, county, occupation, birth cohort, marital status, age at menarche, alcohol, oral contraceptive use, exercise, SBP, TC, HDL-C, history of DB, alcohol, marital status, study area, type of menopause, self-cognitive health level, chronic disease, marital partner, contraceptive use, hypertension, pregnancy number, height, weight, age and time period, reproductive factors, lactation duration, unilateral oophorectomy, WHR, education, occupation, income, regular exercise, current smoking or alcohol, number of live births","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']",Low,10
All cause mortality,<40 vs 50-52,All-cause mortality,RR,1.24,1.10-1.39,https://doi.org/10.1016/j.ijcard.2015.10.092,2016-Jan-15,10,149373,"USA, Norway, Japan, Republic of Korea, China","Age at baseline, years of follow-up, race, education, smoking, use of hormone replacement therapy, DB, hypertension, parity, age at first birth, leisure PA, BMI, current use of estrogen, ever-smoking, vegetarian status, dietary pattern, attained age, county, occupation, birth cohort, marital status, age at menarche, alcohol, oral contraceptive use, exercise, SBP, TC, HDL-C, history of DB, alcohol, marital status, study area, type of menopause, self-cognitive health level, chronic disease, marital partner, contraceptive use, hypertension, pregnancy number, height, weight, age and time period, reproductive factors, lactation duration, unilateral oophorectomy, WHR, education, occupation, income, regular exercise, current smoking or alcohol, number of live births","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']",Low,10
All cause mortality,b46.64 years vs 48.80-50.15,All-cause mortality,RR,1.05,0.82-1.34,https://doi.org/10.1016/j.ijcard.2015.10.092,2016-Jan-15,10,149373,"USA, Norway, Japan, Republic of Korea, China","Age at baseline, years of follow-up, race, education, smoking, use of hormone replacement therapy, DB, hypertension, parity, age at first birth, leisure PA, BMI, current use of estrogen, ever-smoking, vegetarian status, dietary pattern, attained age, county, occupation, birth cohort, marital status, age at menarche, alcohol, oral contraceptive use, exercise, SBP, TC, HDL-C, history of DB, alcohol, marital status, study area, type of menopause, self-cognitive health level, chronic disease, marital partner, contraceptive use, hypertension, pregnancy number, height, weight, age and time period, reproductive factors, lactation duration, unilateral oophorectomy, WHR, education, occupation, income, regular exercise, current smoking or alcohol, number of live births","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']",Low,10
All cause mortality,<40 vs 45-49,All-cause mortality,RR,2.77,1.16-6.58,https://doi.org/10.1016/j.ijcard.2015.10.092,2016-Jan-15,10,149373,"USA, Norway, Japan, Republic of Korea, China","Age at baseline, years of follow-up, race, education, smoking, use of hormone replacement therapy, DB, hypertension, parity, age at first birth, leisure PA, BMI, current use of estrogen, ever-smoking, vegetarian status, dietary pattern, attained age, county, occupation, birth cohort, marital status, age at menarche, alcohol, oral contraceptive use, exercise, SBP, TC, HDL-C, history of DB, alcohol, marital status, study area, type of menopause, self-cognitive health level, chronic disease, marital partner, contraceptive use, hypertension, pregnancy number, height, weight, age and time period, reproductive factors, lactation duration, unilateral oophorectomy, WHR, education, occupation, income, regular exercise, current smoking or alcohol, number of live births","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']",Low,10
All cause mortality,<40 vs 45-49,CVD mortality,RR,1.53,1.00-2.39,https://doi.org/10.1016/j.ijcard.2015.10.092,2016-Jan-15,10,149373,"USA, Norway, Japan, Republic of Korea, China","Age at baseline, years of follow-up, race, education, smoking, use of hormone replacement therapy, DB, hypertension, parity, age at first birth, leisure PA, BMI, current use of estrogen, ever-smoking, vegetarian status, dietary pattern, attained age, county, occupation, birth cohort, marital status, age at menarche, alcohol, oral contraceptive use, exercise, SBP, TC, HDL-C, history of DB, alcohol, marital status, study area, type of menopause, self-cognitive health level, chronic disease, marital partner, contraceptive use, hypertension, pregnancy number, height, weight, age and time period, reproductive factors, lactation duration, unilateral oophorectomy, WHR, education, occupation, income, regular exercise, current smoking or alcohol, number of live births","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']",Low,10
All cause mortality,40-44 vs 50-54,All-cause mortality,RR,1.32,1.05-1.66,https://doi.org/10.1016/j.ijcard.2015.10.092,2016-Jan-15,10,149373,"USA, Norway, Japan, Republic of Korea, China","Age at baseline, years of follow-up, race, education, smoking, use of hormone replacement therapy, DB, hypertension, parity, age at first birth, leisure PA, BMI, current use of estrogen, ever-smoking, vegetarian status, dietary pattern, attained age, county, occupation, birth cohort, marital status, age at menarche, alcohol, oral contraceptive use, exercise, SBP, TC, HDL-C, history of DB, alcohol, marital status, study area, type of menopause, self-cognitive health level, chronic disease, marital partner, contraceptive use, hypertension, pregnancy number, height, weight, age and time period, reproductive factors, lactation duration, unilateral oophorectomy, WHR, education, occupation, income, regular exercise, current smoking or alcohol, number of live births","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']",Low,10
All cause mortality,35-40 vs 49-51,All-cause mortality,RR,1.3,1.1-1.5,https://doi.org/10.1016/j.ijcard.2015.10.092,2016-Jan-15,10,149373,"USA, Norway, Japan, Republic of Korea, China","Age at baseline, years of follow-up, race, education, smoking, use of hormone replacement therapy, DB, hypertension, parity, age at first birth, leisure PA, BMI, current use of estrogen, ever-smoking, vegetarian status, dietary pattern, attained age, county, occupation, birth cohort, marital status, age at menarche, alcohol, oral contraceptive use, exercise, SBP, TC, HDL-C, history of DB, alcohol, marital status, study area, type of menopause, self-cognitive health level, chronic disease, marital partner, contraceptive use, hypertension, pregnancy number, height, weight, age and time period, reproductive factors, lactation duration, unilateral oophorectomy, WHR, education, occupation, income, regular exercise, current smoking or alcohol, number of live births","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']",Low,10
